,pws
2020-05-07,0.7902622959313697
2020-05-08,0.7773002928250563
2020-05-11,0.7786481460264417
2020-05-12,0.7715945922995727
2020-05-13,0.7607529364136357
2020-05-14,0.8020786708933246
2020-05-15,0.7906835749006438
2020-05-18,0.8072331482645405
2020-05-19,0.7951804001377493
2020-05-20,0.7888545743213315
2020-05-21,0.8008369824588804
2020-05-22,0.7944866335225589
2020-05-25,0.8018757062824102
2020-05-26,0.7872988430783843
2020-05-27,0.8092950253217106
2020-05-28,0.7922105760521196
2020-05-29,0.8192451261437651
2020-06-01,0.79421050809752
2020-06-02,0.8069210300164976
2020-06-03,0.7759222184199426
2020-06-04,0.7895717567745119
2020-06-05,0.7847817287522441
2020-06-08,0.793692945891117
2020-06-09,0.7803989763578386
2020-06-10,0.8091499645633774
2020-06-11,0.7697509393516864
2020-06-12,0.7879958147536564
2020-06-15,0.7880716725835186
2020-06-16,0.7724673836944995
2020-06-17,0.7660917293208217
2020-06-18,0.7770056704282964
2020-06-19,0.7633542578997115
2020-06-22,0.7583719726430234
2020-06-23,0.7691874746376536
2020-06-24,0.7267664301762572
2020-06-25,0.792255587319202
2020-06-26,0.7650832670222169
2020-06-29,0.792369571326235
2020-06-30,0.7647725053951567
2020-07-01,0.7637748921590909
2020-07-02,0.7881458914208096
2020-07-03,0.7799007094486075
2020-07-06,0.8094648562821181
2020-07-07,0.7743524522384624
2020-07-08,0.7935786383745735
2020-07-09,0.8005418181396917
2020-07-10,0.7980339172197382
2020-07-13,0.802877634466143
2020-07-14,0.7936649381265549
2020-07-15,0.7935512485314345
2020-07-16,0.80840279050754
2020-07-17,0.7616428345942571
2020-07-20,0.7981469275391844
2020-07-21,0.7640713767273778
2020-07-22,0.7831228498127205
2020-07-23,0.7790403932521031
2020-07-24,0.7989543549388858
2020-07-27,0.7857342869358763
2020-07-28,0.7729366144685014
2020-07-29,0.776840172298578
2020-07-30,0.783859316310526
2020-07-31,0.7763430371104907
2020-08-03,0.7771999269269888
2020-08-04,0.7979624688149191
2020-08-05,0.7758749960921456
2020-08-06,0.7879175360985096
2020-08-07,0.7765564817359778
2020-08-10,0.811485534203216
2020-08-11,0.8136594278436168
2020-08-12,0.8322053400334376
2020-08-13,0.8220439889065108
2020-08-14,0.819626602051531
2020-08-17,0.8132081215464891
2020-08-18,0.7998285586090318
2020-08-19,0.8153600346106588
2020-08-20,0.800314811593639
2020-08-21,0.7934040280944272
2020-08-24,0.7943757931883443
2020-08-25,0.7843393187547997
2020-08-26,0.7791900004117235
2020-08-27,0.7785000896759368
2020-08-28,0.7886811973954804
2020-08-31,0.8015020594868927
2020-09-01,0.7978323656443366
2020-09-02,0.783977151320117
2020-09-03,0.8210152021199116
2020-09-04,0.7877007113833279
2020-09-07,0.8143448067895888
2020-09-08,0.8004016103885584
2020-09-09,0.7828559266940863
2020-09-10,0.7900782775005596
2020-09-11,0.7806860375380088
2020-09-14,0.7660990014460654
2020-09-15,0.7587560500763679
2020-09-16,0.7674298550479759
2020-09-17,0.75023271216619
2020-09-18,0.7653493773687622
2020-09-21,0.7310764979010174
2020-09-22,0.7353228465688062
2020-09-23,0.7295831961804561
2020-09-24,0.7348679827827883
2020-09-25,0.7558027367250578
2020-09-28,0.7294350307013456
2020-09-29,0.7733917918076821
2020-09-30,0.7480867709869344
2020-10-01,0.7725296692603617
2020-10-02,0.752821532468843
2020-10-05,0.7451432565253304
2020-10-06,0.7419247518860504
2020-10-07,0.7599910203888578
2020-10-08,0.74431876763152
2020-10-09,0.7576260790889042
2020-10-12,0.7560254898356898
2020-10-13,0.75817504300937
2020-10-14,0.7560212358127257
2020-10-15,0.7525823417463297
2020-10-16,0.7704801549865418
2020-10-19,0.7391861300111092
2020-10-20,0.7469392269550035
2020-10-21,0.7314837061066025
2020-10-22,0.7255773560290315
2020-10-23,0.7274703271722965
2020-10-26,0.7422551189172762
2020-10-27,0.7300529899953755
2020-10-28,0.739788170216826
2020-10-29,0.7217653852636264
2020-10-30,0.7273437092234503
2020-11-02,0.7462817639697871
2020-11-03,0.7395963943807353
2020-11-04,0.7598427173549481
2020-11-05,0.7534693368708917
2020-11-06,0.7403621444470642
2020-11-09,0.7558505832520497
2020-11-10,0.7272940337582724
2020-11-11,0.7494854372543569
2020-11-12,0.7361260328963637
2020-11-13,0.7483966402374542
2020-11-16,0.7468014580752177
2020-11-17,0.7451029052320126
2020-11-18,0.7462035279715242
2020-11-19,0.7548700273836765
2020-11-20,0.7695254107180134
