,pws
2020-09-16,0.7718141542278459
2020-09-17,0.7921590433350112
2020-09-18,0.7856131025302898
2020-09-21,0.7300415565300983
2020-09-22,0.7340700342637567
2020-09-23,0.7558848116876214
2020-09-24,0.7509791966330088
2020-09-25,0.7517983919245004
2020-09-28,0.737021145811599
2020-09-29,0.7476742476048679
2020-09-30,0.7501208739910575
2020-10-01,0.7385571134417132
2020-10-02,0.7800916865231811
2020-10-05,0.7418563524480751
2020-10-06,0.7563007083915345
2020-10-07,0.7724825339277033
2020-10-08,0.7608338124682372
2020-10-09,0.7368684638836864
2020-10-12,0.758117513731166
2020-10-13,0.7658375398951879
2020-10-14,0.7653109563350281
2020-10-15,0.7556738010246177
2020-10-16,0.7231188027152998
2020-10-19,0.7719272947170082
2020-10-20,0.7641526943400176
2020-10-21,0.7571305536758788
2020-10-22,0.7529602892973302
2020-10-23,0.7450871960721432
2020-10-26,0.7770597584083733
2020-10-27,0.7354400735408241
2020-10-28,0.737963753771229
2020-10-29,0.7757905339948478
2020-10-30,0.7411920584302985
2020-11-02,0.7850251491401652
2020-11-03,0.7698576832385896
2020-11-04,0.7859100064261039
2020-11-05,0.7679428698951345
2020-11-06,0.7906927846559763
2020-11-09,0.7609481746680389
2020-11-10,0.7497880997779658
2020-11-11,0.7651106155839562
2020-11-12,0.7577632175667613
2020-11-13,0.7584138673595453
2020-11-16,0.7817824247926012
2020-11-17,0.7711654872004111
2020-11-18,0.7772517960152416
2020-11-19,0.7599894878965839
2020-11-20,0.7599423072382777
2020-11-23,0.736555623670157
2020-11-24,0.7669694139341232
2020-11-25,0.752580276367776
2020-11-26,0.7504931053105607
2020-11-27,0.7507263971284781
2020-11-30,0.7554467105262258
2020-12-01,0.8131211537645536
2020-12-02,0.7572474198110265
2020-12-03,0.7650410368696805
2020-12-04,0.7558387614121723
2020-12-07,0.7546967698318142
2020-12-08,0.7586193841270891
2020-12-09,0.7712751790686057
2020-12-10,0.7546679918170548
2020-12-11,0.7459426484847561
2020-12-14,0.7746066980368504
2020-12-15,0.7645647618715115
2020-12-16,0.7535803438863566
2020-12-17,0.7341556065217302
2020-12-18,0.7151138398830625
2020-12-21,0.7875825760943038
2020-12-22,0.7662850687871413
2020-12-23,0.7683539882167183
2020-12-24,0.7578599832565586
2020-12-25,0.7499875844383845
2020-12-28,0.7784446920093486
2020-12-29,0.7777581458280293
2020-12-30,0.7393853608137614
2020-12-31,0.7466765268232617
2021-01-01,0.7623864363456793
2021-01-04,0.7512600963580229
2021-01-05,0.7511159635444303
2021-01-06,0.7503456736892531
2021-01-07,0.7584645993625871
2021-01-08,0.7424332149592566
2021-01-11,0.747392231742317
2021-01-12,0.7542404952782874
2021-01-13,0.7426704685390666
2021-01-14,0.7576305151193939
2021-01-15,0.7525723703704261
2021-01-18,0.7880959687808864
2021-01-19,0.7808250030087451
2021-01-20,0.7532379801575526
2021-01-21,0.7538478916091074
2021-01-22,0.7419875561396686
2021-01-25,0.778663742205886
2021-01-26,0.7810519087790502
2021-01-27,0.7814413198570538
2021-01-28,0.7577030086212306
2021-01-29,0.773675924745591
2021-02-01,0.7582441437891738
2021-02-02,0.7640762476610693
2021-02-03,0.7746815127002767
2021-02-04,0.759201793791732
2021-02-05,0.7468676232802803
2021-02-08,0.7862111034692311
2021-02-09,0.7557062824597282
2021-02-10,0.7292372294661004
2021-02-11,0.779197823037492
2021-02-12,0.7443167822539388
2021-02-15,0.716829479780597
2021-02-16,0.7638243790861288
2021-02-17,0.7549974322477095
2021-02-18,0.7769719512339149
2021-02-19,0.7442913580043838
2021-02-22,0.7476878895638653
2021-02-23,0.7557198318111921
2021-02-24,0.7840485326691655
2021-02-25,0.7694946230505536
2021-02-26,0.7599166718480098
2021-03-01,0.748934258579373
2021-03-02,0.7736522052910552
2021-03-03,0.7784704335430696
2021-03-04,0.7678342766530947
2021-03-05,0.7547236786358199
2021-03-08,0.7587789207934927
2021-03-09,0.7751392975396789
2021-03-10,0.7945634014380747
2021-03-11,0.7341272750926116
2021-03-12,0.748342454909368
2021-03-15,0.7592568157408933
2021-03-16,0.7486522626885079
2021-03-17,0.7671878637412549
2021-03-18,0.7703924593244138
2021-03-19,0.7631276638843457
2021-03-22,0.7311449760950657
2021-03-23,0.7782176828236493
2021-03-24,0.7721857971880799
2021-03-25,0.7735217765954185
2021-03-26,0.7615703432788269
2021-03-29,0.736008564740716
2021-03-30,0.7618435584674921
2021-03-31,0.7872807457752543
2021-04-01,0.7636725328228648
2021-04-02,0.7524321688066126
2021-04-05,0.7599398483603487
2021-04-06,0.7745415276705793
2021-04-07,0.7232659668207715
2021-04-08,0.7522632470888923
2021-04-09,0.7359522673415916
2021-04-12,0.737224796876343
2021-04-13,0.7481283752611009
2021-04-14,0.756053756598336
2021-04-15,0.7252661312906269
2021-04-16,0.7653576690247847
2021-04-19,0.7646600713208969
2021-04-20,0.7645795422911686
2021-04-21,0.7429315004597173
2021-04-22,0.7668553073878732
2021-04-23,0.7445946953212217
2021-04-26,0.7506645087850187
2021-04-27,0.7471749281356503
2021-04-28,0.7648136065890471
2021-04-29,0.7330859644888511
2021-04-30,0.7788420179902528
2021-05-03,0.7415140752312958
2021-05-04,0.7644122846177915
2021-05-05,0.7454849177585828
2021-05-06,0.755761879514267
2021-05-07,0.756588428792064
2021-05-10,0.7744446025637791
2021-05-11,0.7357482324335818
2021-05-12,0.7395041171058861
2021-05-13,0.7791590367331541
2021-05-14,0.7405161650110247
2021-05-17,0.7657906738879107
2021-05-18,0.7525892379473834
2021-05-19,0.7584635591611836
2021-05-20,0.7617213941003296
2021-05-21,0.7890800877777921
2021-05-24,0.7649090386610146
2021-05-25,0.7363150192866237
2021-05-26,0.7603025187983478
2021-05-27,0.7687104183579656
2021-05-28,0.766021785097913
2021-05-31,0.7401807802040974
2021-06-01,0.756737689430886
2021-06-02,0.7527090759325091
2021-06-03,0.7774586826719097
2021-06-04,0.7730436928390689
2021-06-07,0.7646574584477355
2021-06-08,0.733160232631411
2021-06-09,0.7616016370937909
2021-06-10,0.7581257769344235
2021-06-11,0.780642000677942
2021-06-14,0.7539908798017266
2021-06-15,0.780565983128889
2021-06-16,0.7594331563722894
2021-06-17,0.7217498954015589
2021-06-18,0.749785874830984
2021-06-21,0.7962890399612261
2021-06-22,0.7553590846062849
2021-06-23,0.7381306425801083
2021-06-24,0.7484904543693004
2021-06-25,0.7304188101375421
2021-06-28,0.773790630050606
2021-06-29,0.7713402897492392
2021-06-30,0.7669233559352073
2021-07-01,0.7493936749952002
2021-07-02,0.7619195642245443
2021-07-05,0.7605302526647068
2021-07-06,0.7505547874986581
2021-07-07,0.7544735885861741
2021-07-08,0.7853991964483567
2021-07-09,0.7583623880534841
2021-07-12,0.7727748984177668
2021-07-13,0.7459824586897623
2021-07-14,0.7673606725190832
2021-07-15,0.7763052241122745
2021-07-16,0.7524708171288539
2021-07-19,0.7823482772309641
2021-07-20,0.7868313052905178
2021-07-21,0.7373141321284543
2021-07-22,0.7484035239807014
2021-07-23,0.715027237855455
2021-07-26,0.7697230476095388
2021-07-27,0.7408861522121764
2021-07-28,0.7257516253257519
2021-07-29,0.7820165267154092
2021-07-30,0.7914191915896168
2021-08-02,0.7502819130207865
2021-08-03,0.7924288035076179
2021-08-04,0.7189664889713554
2021-08-05,0.7555763316450326
2021-08-06,0.728817494840187
2021-08-09,0.7446777837464128
2021-08-10,0.7567784695541077
2021-08-11,0.755496416229468
2021-08-12,0.729852238216174
2021-08-13,0.7570514075361068
2021-08-16,0.7708963075517488
2021-08-17,0.7193239127488662
2021-08-18,0.7523203471347357
2021-08-19,0.7622821502054866
2021-08-20,0.7480228813536667
2021-08-23,0.7768341751308452
2021-08-24,0.7511332982126886
2021-08-25,0.7720218297033157
2021-08-26,0.7100642405991137
2021-08-27,0.7369809428904588
2021-08-30,0.7657790737891046
2021-08-31,0.7564254814685046
2021-09-01,0.7666002331180894
2021-09-02,0.7695721492488597
2021-09-03,0.7237788000036915
2021-09-06,0.7822705589980397
2021-09-07,0.7389205029908491
2021-09-08,0.7431945614966927
