seed,condition,pws_final_half,pws_slope,pws_mean,pws_std,pws_q1,pws_q2,pws_q3,pws_q4
10,control,0.7609451869504075,1.5592151375554158e-06,0.7588357949558797,0.03852086540426934,,,,
9,treatment,0.7863205889570064,7.332786444604017e-06,0.7917957343117857,0.05046987223543832,0.8122885874563051,0.875648650348021,0.9519258173354562,0.9111668816393758
11,control,0.7606211954713433,1.4759445052569561e-05,0.7582519143391538,0.03867001190443931,,,,
10,treatment,0.7994801339638229,1.855912266251556e-05,0.7978687517854788,0.048462901347884293,0.8111500559109267,0.8705604558247878,0.9576452408144038,0.9247266350669988
12,control,0.75929392318112,3.27616788756631e-06,0.757221357494881,0.03854783303630813,,,,
11,treatment,0.7803893410162172,-9.3770801931279e-05,0.7945791345198374,0.052702432457894535,0.8215683605575115,0.888280444565521,0.9439323470612195,0.9004754660617647
13,control,0.7584241196172723,-2.581720707096695e-06,0.7566141001318342,0.03824310763902464,,,,
12,treatment,0.790838166937172,2.3487216922582098e-05,0.7979994280300564,0.05118555080762039,0.8185652493812586,0.8754587273689796,0.9495762523058228,0.909852998045253
13,treatment,0.7664488502244706,-0.00014771807005136607,0.7832383844168288,0.052056226596653814,0.807548099498219,0.882011523409499,0.9436218650385972,0.8994976433859335
14,control,0.7571283513433693,-9.165996336442074e-06,0.7569477907884457,0.03842701633481825,,,,
15,control,0.7600760634426103,-1.022426220685806e-06,0.7575189368918688,0.038090206415743184,,,,
16,control,0.759513302670475,-8.253380940899458e-06,0.7576925664321316,0.038252840985371975,,,,
14,treatment,0.7761496596029985,6.341656852308144e-05,0.7775828586022806,0.05308314778761255,0.8033737556526601,0.8772983811727708,0.9484113064796473,0.9072677684875747
15,treatment,0.7942137773226104,1.4548571250337473e-05,0.7956207596833266,0.05059600171236298,0.8175827016818343,0.8775926405067992,0.9528810954979733,0.9151010894434809
17,control,0.7587373835882522,4.504701850232084e-06,0.7563338057545657,0.03840940551686931,,,,
16,treatment,0.7866668162173444,1.0729994317557196e-05,0.7930497712679213,0.05154087889514441,0.8058762163839529,0.8787253382406596,0.95008787718662,0.9141446050345275
18,control,0.7586208571344781,5.794330906628588e-06,0.7571939737165335,0.038170499290934856,,,,
17,treatment,0.7787441693440625,-1.4923059512760869e-05,0.7875116041580721,0.05072596523828802,0.8207305908517815,0.8823777829965032,0.9465449746224661,0.9027182405206567
19,control,0.7595793616420649,5.209806255911443e-06,0.7574071448511315,0.038150872554894855,,,,
18,treatment,0.7985592322090188,4.740085462694584e-05,0.7984376063616621,0.05258858700878494,0.8081637477847678,0.8689154191746429,0.9527966297117596,0.9177166433731291
20,control,0.7599895084235936,-4.656297610712644e-06,0.7589644954013635,0.038129151688084006,,,,
19,treatment,0.7786816665000271,-2.033202807372142e-05,0.7868647890692873,0.05050322665148726,0.8111771709045187,0.8771030334466149,0.9485244819734663,0.9070301305325232
21,control,0.7567843672109277,-1.5777511462232943e-05,0.7561687746154618,0.03834086050210662,,,,
20,treatment,0.7744371136876469,-9.677562313207832e-05,0.7900750490780919,0.05251974706212997,0.8082108300915254,0.878493054392735,0.9474693214873097,0.9063750246642461
22,control,0.7588002218365473,2.4060346287688414e-06,0.75783259496011,0.038605074477538436,,,,
21,treatment,0.7917773043989333,9.419347641253933e-05,0.7865096384824213,0.05336677034224482,0.818955140138903,0.8765266670284236,0.9531273907074611,0.915967195038926
23,control,0.757765508505898,-7.383654779971269e-06,0.756882989862294,0.038394690438665856,,,,
24,control,0.762496449253879,4.203705523965498e-06,0.7603781491424478,0.038289133951838146,,,,
22,treatment,0.7853775205310422,5.976136344534873e-05,0.79191323879806,0.05135622809128819,0.8220147450556446,0.8830348513178216,0.9455299585180312,0.9051408513966314
23,treatment,0.770004846586159,1.9317706277621136e-05,0.7813161231089693,0.05122291139175327,0.8142023384953817,0.88232323810867,0.9414485918873022,0.8980285769958835
25,control,0.7585800106292223,-3.941595137697542e-06,0.7580666185736941,0.03809719071047574,,,,
24,treatment,0.7833601561891197,2.0259918072452767e-05,0.7859793691935912,0.05397411147684173,0.8089315244812908,0.8792595615849178,0.953259270865458,0.913793008587935
26,control,0.7584796284774887,-8.584642660158256e-06,0.7570280185156347,0.03853274465839054,,,,
27,control,0.7581307677888939,3.8946512853572365e-06,0.7570642043554101,0.03811639555711176,,,,
25,treatment,0.7816345209302599,3.760939867816418e-05,0.7793622862003831,0.055401659292198535,0.7888265669154206,0.8649823028856178,0.9481510214024071,0.91200924906202
26,treatment,0.7922295363911401,2.4186829384390893e-05,0.7972955166711275,0.05157335843089991,0.8108905658533335,0.8774523937353736,0.9538463469763862,0.916764815530321
28,control,0.7588594229759804,2.908352982804237e-06,0.7575232620986481,0.03794962391322358,,,,
27,treatment,0.7914779112456075,2.9038927664575763e-05,0.7958227048822014,0.04914525770109183,0.8171837755478577,0.876892238960333,0.9531076837788072,0.9146470292047796
29,control,0.7610222738297635,-2.4201440529129423e-06,0.7587718457668051,0.037873984190446616,,,,
